R	53.3531	-6.24591	E921	03 Oct 2022	E921\n12:35 - Bray to Howth (0 mins late)\nArrived Dublin Connolly next stop Clontarf Road	Northbound
R	53.3629	-6.22753	E115	03 Oct 2022	E115\n13:00 - Howth to Greystones (0 mins late)\nDeparted Clontarf Road next stop Dublin Connolly	Southbound
R	53.3632	-6.25908	D916	03 Oct 2022	D916\n13:17 - Dublin Connolly to Maynooth (1 mins late)\nDeparted Drumcondra next stop Broombridge	Northbound
R	53.3704	-6.50598	D915	03 Oct 2022	D915\n12:47 - Dublin Connolly to Maynooth (0 mins late)\nArrived Leixlip (Louisa Bridge) next stop Maynooth	Northbound
R	53.3786	-6.19131	E820	03 Oct 2022	E820\n12:25 - Bray to Malahide (1 mins late)\nDeparted Harmonstown next stop Raheny	Northbound
R	53.3831	-6.4242	A906	03 Oct 2022	A906\n13:00 - Dublin Connolly to Sligo (0 mins late)\nDeparted Clonsilla next stop Maynooth	Northbound
R	53.3831	-6.4242	P745	03 Oct 2022	P745\n13:08 - Maynooth to Dublin Connolly (-1 mins late)\nArrived Clonsilla next stop Coolmine	Southbound
R	53.3853	-6.44205	D307	03 Oct 2022	D307\n13:18 - Clonsilla to M3 Parkway (1 mins late)\nDeparted Hansfield next stop Dunboyne	Northbound
R	53.387	-6.16163	E230	03 Oct 2022	E230\n13:10 - Malahide to Bray (1 mins late)\nArrived Kilbarrack next stop Raheny	Southbound
R	53.3891	-6.07401	E231	03 Oct 2022	E231\n13:20 - Howth to Bray (0 mins late)\nDeparted Howth next stop Sutton	Southbound
R	53.3917	-6.13678	E920	03 Oct 2022	E920\n12:04 - Greystones to Howth (1 mins late)\nArrived Bayside next stop Sutton	Northbound
R	53.4933	-7.15576	A907	03 Oct 2022	A907\n11:05 - Sligo to Dublin Connolly (6 mins late)\nDeparted Killucan next stop Enfield	Southbound
R	53.5741	-6.11933	D808	03 Oct 2022	D808\n12:50 - Dublin Connolly to Drogheda (1 mins late)\nDeparted Skerries next stop Balbriggan	Northbound
R	53.638	-6.21705	P708	03 Oct 2022	P708\n12:45 - Dundalk to Dublin Connolly (0 mins late)\nArrived Gormanston next stop Balbriggan	Southbound
R	53.9383	-8.10657	A904	03 Oct 2022	A904\n11:00 - Dublin Connolly to Sligo (2 mins late)\nDeparted Carrick on Shannon next stop Boyle	Northbound
R	54.0007	-6.41291	A126	03 Oct 2022	A126\n11:20 - Dublin Connolly to Belfast (6 mins late)\nDeparted Dundalk next stop Newry	Northbound
R	54.2723	-8.48249	A909	03 Oct 2022	A909\n13:05 - Sligo to Dublin Connolly (1 mins late)\nDeparted Sligo next stop Collooney	Southbound
T	52.5009	-8.20003	A433	03 Oct 2022	A433\n12:55 - Limerick to Limerick Junction(-1 mins late)\nTERMINATED Limerick Junction at 13:21	To Limerick Junction
T	53.3223	-6.52356	D408	03 Oct 2022	D408\n12:30 - Grand Canal Dock to Hazelhatch(-1 mins late)\nTERMINATED Hazelhatch at 13:16	Southbound
T	53.3397	-6.23773	P409	03 Oct 2022	P409\n12:35 - Hazelhatch to Grand Canal Dock(-1 mins late)\nTERMINATED Grand Canal Dock at 13:17	Northbound
T	53.3531	-6.24591	P706	03 Oct 2022	P706\n12:20 - Drogheda to Dublin Connolly(1 mins late)\nTERMINATED Dublin Connolly at 13:19	Southbound
T	53.4509	-6.15649	E819	03 Oct 2022	E819\n12:05 - Bray to Malahide(0 mins late)\nTERMINATED Malahide at 13:20	Northbound
